Folds number,Fold,Random State,Dropout probability,Activation function,Learning Rate,Epochs,Layers number,Hidden Size,RMSE
5,1,100,0.5,Softmax,0.01,150,2,256,37.255432
5,1,100,0.5,GELU,0.01,150,2,256,1.6537193
5,1,100,0.5,ReLU,0.01,150,3,256,0.8782282
5,1,100,0.5,Tanh,0.01,150,3,256,25.927378
5,1,100,0.5,Sigmoid,0.01,150,3,256,16.736183
5,1,100,0.5,Softmax,0.01,150,3,256,37.16246
5,1,100,0.5,GELU,0.01,150,3,256,2.8655941
5,1,100,0.5,ReLU,0.01,150,4,256,10.251862
5,1,100,0.5,Tanh,0.01,150,4,256,25.922934
5,1,100,0.5,Sigmoid,0.01,150,4,256,16.73797
5,1,100,0.5,Softmax,0.01,150,4,256,37.25372
5,1,100,0.5,GELU,0.01,150,4,256,2.3588257
5,1,100,0.5,ReLU,0.01,200,1,16,3.7840168
5,1,100,0.5,Tanh,0.01,200,1,16,19.766438
5,1,100,0.5,Sigmoid,0.01,200,1,16,22.3454
5,1,100,0.5,Softmax,0.01,200,1,16,36.350628
5,1,100,0.5,GELU,0.01,200,1,16,4.31311
5,1,100,0.5,ReLU,0.01,200,2,16,13.187393
5,1,100,0.5,Tanh,0.01,200,2,16,19.888592
5,1,100,0.5,Sigmoid,0.01,200,2,16,22.096647
5,1,100,0.5,Softmax,0.01,200,2,16,36.113464
5,1,100,0.5,GELU,0.01,200,2,16,6.0362344
5,1,100,0.5,ReLU,0.01,200,3,16,7.9907746
5,1,100,0.5,Tanh,0.01,200,3,16,19.861961
5,1,100,0.5,Sigmoid,0.01,200,3,16,21.986147
5,1,100,0.5,Softmax,0.01,200,3,16,36.37003
5,1,100,0.5,GELU,0.01,200,3,16,7.9440618
5,1,100,0.5,ReLU,0.01,200,4,16,11.372932
5,1,100,0.5,Tanh,0.01,200,4,16,19.885447
5,1,100,0.5,Sigmoid,0.01,200,4,16,22.13557
5,1,100,0.5,Softmax,0.01,200,4,16,36.364395
5,1,100,0.5,GELU,0.01,200,4,16,8.882379
5,1,100,0.5,ReLU,0.01,200,1,32,1.573828
5,1,100,0.5,Tanh,0.01,200,1,32,11.246664
5,1,100,0.5,Sigmoid,0.01,200,1,32,15.41556
5,1,100,0.5,Softmax,0.01,200,1,32,36.38484
5,1,100,0.5,GELU,0.01,200,1,32,2.3128347
5,1,100,0.5,ReLU,0.01,200,2,32,2.3959055
5,1,100,0.5,Tanh,0.01,200,2,32,13.24262
5,1,100,0.5,Sigmoid,0.01,200,2,32,16.975508
5,1,100,0.5,Softmax,0.01,200,2,32,36.41559
5,1,100,0.5,GELU,0.01,200,2,32,3.5151806
5,1,100,0.5,ReLU,0.01,200,3,32,8.977197
5,1,100,0.5,Tanh,0.01,200,3,32,17.45528
5,1,100,0.5,Sigmoid,0.01,200,3,32,16.984493
5,1,100,0.5,Softmax,0.01,200,3,32,36.211624
5,1,100,0.5,GELU,0.01,200,3,32,2.8387532
5,1,100,0.5,ReLU,0.01,200,4,32,9.447433
5,1,100,0.5,Tanh,0.01,200,4,32,17.296751
5,1,100,0.5,Sigmoid,0.01,200,4,32,16.912493
5,1,100,0.5,Softmax,0.01,200,4,32,36.476204
5,1,100,0.5,GELU,0.01,200,4,32,5.545747
5,1,100,0.5,ReLU,0.01,200,1,64,1.2635481
5,1,100,0.5,Tanh,0.01,200,1,64,14.061787
5,1,100,0.5,Sigmoid,0.01,200,1,64,11.927725
5,1,100,0.5,Softmax,0.01,200,1,64,36.344227
5,1,100,0.5,GELU,0.01,200,1,64,1.0246668
5,1,100,0.5,ReLU,0.01,200,2,64,1.6288314
5,1,100,0.5,Tanh,0.01,200,2,64,14.378763
5,1,100,0.5,Sigmoid,0.01,200,2,64,16.77255
5,1,100,0.5,Softmax,0.01,200,2,64,36.367847
5,1,100,0.5,GELU,0.01,200,2,64,2.9481704
5,1,100,0.5,ReLU,0.01,200,3,64,4.7497573
5,1,100,0.5,Tanh,0.01,200,3,64,24.422031
5,1,100,0.5,Sigmoid,0.01,200,3,64,16.773256
